"year";"plot";"focal";"competitor";"magnitude"
2016;5;"PUPA";"PUPA";0,00400098349649815
2017;5;"PUPA";"PUPA";0,00248714082876494
2018;5;"PUPA";"PUPA";0,00781653458116433
2019;5;"PUPA";"PUPA";NA
2016;6;"PUPA";"PUPA";-0,00131249652067166
2017;6;"PUPA";"PUPA";-0,00328686096772631
2018;6;"PUPA";"PUPA";-0,0061991130929431
2019;6;"PUPA";"PUPA";NA
2016;7;"PUPA";"PUPA";0,020384484720776
2017;7;"PUPA";"PUPA";NA
2018;7;"PUPA";"PUPA";NA
2019;7;"PUPA";"PUPA";0,000114187791957936
2016;8;"PUPA";"PUPA";0,0249880463919783
2017;8;"PUPA";"PUPA";0,0161248040964454
2018;8;"PUPA";"PUPA";NA
2019;8;"PUPA";"PUPA";0,0138478894458563
2016;9;"PUPA";"PUPA";0,0013909701637941
2017;9;"PUPA";"PUPA";NA
2018;9;"PUPA";"PUPA";NA
2019;9;"PUPA";"PUPA";NA
2016;1;"SASO";"PUPA";0,0806572364234395
2017;1;"SASO";"PUPA";-0,0593194229144662
2018;1;"SASO";"PUPA";0,220828607537425
2019;1;"SASO";"PUPA";0,0250012605198478
2016;2;"SASO";"PUPA";0,0966608814237487
2017;2;"SASO";"PUPA";0,0269317919777031
2018;2;"SASO";"PUPA";0,275123561238774
2019;2;"SASO";"PUPA";-0,0323439138047031
2016;3;"SASO";"PUPA";0,051295348105773
2017;3;"SASO";"PUPA";0,0358625503242308
2018;3;"SASO";"PUPA";0,188371654255294
2019;3;"SASO";"PUPA";-0,0636903639062619
2016;4;"SASO";"PUPA";-0,0427830850769612
2017;4;"SASO";"PUPA";0,0034796398671247
2018;4;"SASO";"PUPA";-0,00817407644730854
2019;4;"SASO";"PUPA";-0,0307672275286926
2016;5;"SASO";"PUPA";0,0838282689382322
2017;5;"SASO";"PUPA";0,0131514085559097
2018;5;"SASO";"PUPA";0,0648963015477659
2019;5;"SASO";"PUPA";-0,07219097022248
2016;6;"SASO";"PUPA";0,0730956820652317
2017;6;"SASO";"PUPA";-0,136347817214218
2018;6;"SASO";"PUPA";-0,0187828242884377
2019;6;"SASO";"PUPA";NA
2016;7;"SASO";"PUPA";-0,0337408994267933
2017;7;"SASO";"PUPA";NA
2018;7;"SASO";"PUPA";-0,0592654068365882
2019;7;"SASO";"PUPA";-0,927563526736852
2016;8;"SASO";"PUPA";0,141097721009433
2017;8;"SASO";"PUPA";NA
2018;8;"SASO";"PUPA";NA
2019;8;"SASO";"PUPA";-0,0789362962062798
2016;9;"SASO";"PUPA";-0,0137482683229539
2017;9;"SASO";"PUPA";NA
2018;9;"SASO";"PUPA";NA
2019;9;"SASO";"PUPA";-0,143679291275837
2016;1;"SCLA";"PUPA";NA
2017;1;"SCLA";"PUPA";NA
2018;1;"SCLA";"PUPA";NA
2019;1;"SCLA";"PUPA";NA
2016;2;"SCLA";"PUPA";NA
2017;2;"SCLA";"PUPA";NA
2018;2;"SCLA";"PUPA";NA
2019;2;"SCLA";"PUPA";NA
2016;3;"SCLA";"PUPA";NA
2017;3;"SCLA";"PUPA";NA
2018;3;"SCLA";"PUPA";NA
2019;3;"SCLA";"PUPA";NA
2016;4;"SCLA";"PUPA";NA
2017;4;"SCLA";"PUPA";NA
2018;4;"SCLA";"PUPA";NA
2019;4;"SCLA";"PUPA";NA
2016;5;"SCLA";"PUPA";NA
2017;5;"SCLA";"PUPA";NA
2018;5;"SCLA";"PUPA";NA
2019;5;"SCLA";"PUPA";NA
2016;6;"SCLA";"PUPA";NA
2017;6;"SCLA";"PUPA";NA
2018;6;"SCLA";"PUPA";NA
2019;6;"SCLA";"PUPA";NA
2016;7;"SCLA";"PUPA";NA
2017;7;"SCLA";"PUPA";NA
2018;7;"SCLA";"PUPA";NA
2019;7;"SCLA";"PUPA";NA
2016;8;"SCLA";"PUPA";NA
2017;8;"SCLA";"PUPA";NA
2018;8;"SCLA";"PUPA";NA
2019;8;"SCLA";"PUPA";NA
2016;9;"SCLA";"PUPA";NA
2017;9;"SCLA";"PUPA";NA
2018;9;"SCLA";"PUPA";NA
2019;9;"SCLA";"PUPA";NA
2016;1;"SOAS";"PUPA";NA
2017;1;"SOAS";"PUPA";NA
2018;1;"SOAS";"PUPA";NA
2019;1;"SOAS";"PUPA";NA
2016;2;"SOAS";"PUPA";NA
2017;2;"SOAS";"PUPA";NA
2018;2;"SOAS";"PUPA";NA
2019;2;"SOAS";"PUPA";NA
2016;3;"SOAS";"PUPA";NA
2017;3;"SOAS";"PUPA";NA
2018;3;"SOAS";"PUPA";NA
2019;3;"SOAS";"PUPA";NA
2016;4;"SOAS";"PUPA";NA
2017;4;"SOAS";"PUPA";NA
2018;4;"SOAS";"PUPA";NA
2019;4;"SOAS";"PUPA";NA
2016;5;"SOAS";"PUPA";NA
2017;5;"SOAS";"PUPA";NA
2018;5;"SOAS";"PUPA";NA
2019;5;"SOAS";"PUPA";NA
2016;6;"SOAS";"PUPA";NA
2017;6;"SOAS";"PUPA";NA
2018;6;"SOAS";"PUPA";NA
2019;6;"SOAS";"PUPA";NA
2016;7;"SOAS";"PUPA";NA
2017;7;"SOAS";"PUPA";NA
2018;7;"SOAS";"PUPA";NA
2019;7;"SOAS";"PUPA";NA
2016;8;"SOAS";"PUPA";NA
2017;8;"SOAS";"PUPA";NA
2018;8;"SOAS";"PUPA";NA
2019;8;"SOAS";"PUPA";NA
2016;9;"SOAS";"PUPA";NA
2017;9;"SOAS";"PUPA";NA
2018;9;"SOAS";"PUPA";NA
2019;9;"SOAS";"PUPA";NA
2016;1;"SPRU";"PUPA";0,00853510089880932
2017;1;"SPRU";"PUPA";NA
2018;1;"SPRU";"PUPA";NA
2019;1;"SPRU";"PUPA";NA
2016;2;"SPRU";"PUPA";NA
2017;2;"SPRU";"PUPA";NA
2018;2;"SPRU";"PUPA";NA
2019;2;"SPRU";"PUPA";NA
2016;3;"SPRU";"PUPA";NA
2017;3;"SPRU";"PUPA";NA
2018;3;"SPRU";"PUPA";NA
2019;3;"SPRU";"PUPA";NA
2016;4;"SPRU";"PUPA";NA
2017;4;"SPRU";"PUPA";0,0131767534838617
2018;4;"SPRU";"PUPA";NA
2019;4;"SPRU";"PUPA";-0,014623830063762
2016;5;"SPRU";"PUPA";NA
2017;5;"SPRU";"PUPA";0,00754588851636004
2018;5;"SPRU";"PUPA";NA
2019;5;"SPRU";"PUPA";NA
2016;6;"SPRU";"PUPA";-0,0256599239214613
2017;6;"SPRU";"PUPA";NA
2018;6;"SPRU";"PUPA";NA
2019;6;"SPRU";"PUPA";-0,0190903295362772
2016;7;"SPRU";"PUPA";0,0401370788290304
2017;7;"SPRU";"PUPA";NA
2018;7;"SPRU";"PUPA";NA
2019;7;"SPRU";"PUPA";0,0208163365047767
2016;8;"SPRU";"PUPA";-0,0248085552416801
2017;8;"SPRU";"PUPA";NA
2018;8;"SPRU";"PUPA";NA
2019;8;"SPRU";"PUPA";-0,00286840840094551
2016;9;"SPRU";"PUPA";-0,0126457075549066
2017;9;"SPRU";"PUPA";NA
2018;9;"SPRU";"PUPA";NA
2019;9;"SPRU";"PUPA";NA
2016;1;"BEMA";"SASO";0,0121474992988382
2017;1;"BEMA";"SASO";0,000410866448769034
2018;1;"BEMA";"SASO";9,04209769992207e-05
2019;1;"BEMA";"SASO";NA
2016;2;"BEMA";"SASO";0,00638374941332135
2017;2;"BEMA";"SASO";-0,00103864571876325
2018;2;"BEMA";"SASO";0,000683610805550667
2019;2;"BEMA";"SASO";-0,000628009566540537
2016;3;"BEMA";"SASO";0,000618528823137482
2017;3;"BEMA";"SASO";-0,000542812054369524
2018;3;"BEMA";"SASO";0,000203719680279854
2019;3;"BEMA";"SASO";NA
2016;4;"BEMA";"SASO";-0,000551957636572201
2017;4;"BEMA";"SASO";NA
2018;4;"BEMA";"SASO";-0,000678061012416842
2019;4;"BEMA";"SASO";0,000772682360355355
2016;5;"BEMA";"SASO";-0,0139678412505971
