"year";"plot";"focal";"BEMA";"CETE";"CHFU";"CHMI";"HOMA";"LEMA";"LYTR";"MEEL";"MESU";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SOAS";"SPRU"
2015;1;"BEMA";0,364490286630909;0,453923143900027;0,411424529966383;0,711687784713439;0,669458910176977;0,627839787166901;0,74995879939615;0,753209871758669;0,670698794401687;0,458731672037684;0,527380366317635;0,59143914344748;0,729296820601618;0,740839688795052;0,470767805297907;0,711720171617348;0,693253584608731;0,696610507546636
2015;2;"BEMA";0,333370178078341;0,556251913828893;0,545646880312396;0,688185587012385;0,639971638723405;0,405784953207907;0,755318391124766;0,661658845910981;0,673401060182449;0,81869950962122;0,697878166731144;0,356161182828617;0,773951180825259;0,730229562395149;0,742562984650717;0,748323389134638;0,729348221027623;0,750166954348311
2015;3;"BEMA";0,404495243588783;0,38560384695298;0,736294138174253;0,719367761890182;0,573811623565057;0,549436829022826;0,757988201323919;0,761547659829635;0,631847141893015;0,706093232008867;0,69269737062423;0,542168670438483;0,702098662489495;0,61168752639613;0,547716219225055;0,712307525114648;0,702898423506883;0,75027810465769
2015;4;"BEMA";0,455034075602806;0,374069571963105;0,349167780943766;0,739961484481099;0,466531673026772;0,317397681691765;0,72941091589717;0,555382203176031;0,74680771372383;0,665120814173952;0,491331515438819;0,49460760979938;0,74776187872413;0,785490974294448;0,554956840741603;0,323263636376919;0,767845400391275;0,698374695025698
2015;5;"BEMA";0,362005954426114;0,47025617825005;0,562795326670786;0,730004722839901;0,364333492806639;0,413330761237663;0,721277812795591;0,769707818701497;0,741634899867609;0,724415361859645;0,504705415832272;0,673684143822383;0,728559864171956;0,65924366414108;0,731235135286107;0,647568674388097;0,708679831245142;0,706974893817318
2015;6;"BEMA";0,373239621274076;0,671169476693399;0,371093307331412;0,69349099959999;0,371174967685604;0,727005539917792;0,709119547837389;0,730754405043297;0,674539739910713;0,747019375400306;0,445452000253047;0,454930112062378;0,664908784409979;0,701291580950871;0,681109738593556;0,562890998710366;0,68798662357404;0,667054659384502
2015;7;"BEMA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;8;"BEMA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;9;"BEMA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;1;"CETE";0,798929364174045;0,0987836830086399;0,252272080171481;0,78812909562709;0,244748868577147;0,351309370700999;0,808770388312538;0,802510172908481;0,681274591261203;0,225547559246872;0,378828628343893;0,186023790963741;0,356816721367739;0,723562089924504;0,316450900778298;0,582287222490643;0,70584683553888;0,816172359756576
2015;2;"CETE";0,668998450089439;0;0,310459626999659;0,84376461698814;0,2836359667804;0,251194645394118;0,808103416131963;0,669861591172215;0,290869066242255;0,545679351005116;0,169965832712304;0,158765835458191;0,314940312612266;0,393477336545674;0,560047603460543;0,203184939276263;0,792364624169082;0,822453548918383
2015;3;"CETE";0,719430826790619;0;0,243568075537433;0,817585196486839;0,247950288909872;0,380437545928934;0,81089172283713;0,702512233603456;0,676079420010881;0,600702551238496;0,531824966289606;0,147192418386261;0,485485928384802;0,654593757884495;0,569324766588783;0,62420482915209;0,70484936698195;0,714113542087342
2015;4;"CETE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;5;"CETE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;6;"CETE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;7;"CETE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;8;"CETE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;9;"CETE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;1;"CHFU";0,749628313235931;0,797289914121561;0,0537486476131173;0,793104179755777;0,313450912483276;0,399713378531191;0,730912436830806;0,672482611481729;0,669195368466243;0,80597265661226;0,479597681233372;0,200653438403729;0,733126711684891;0,764874584586184;0,7861347537764;0,816653940211167;0,797015470797113;0,758675514180209
2015;2;"CHFU";0,745483316740918;0,770444614299396;0,0120727550633323;0,788166589195827;0,254918819688531;0,477604838379189;0,835243833101539;0,295311812805199;0,370789943074395;0,808117208764199;0,494804829440515;0,688156639535331;0,677056072432647;0,793710346399798;0,848387219228661;0,628221309978611;0,672393268255952;0,764272483789758
2015;3;"CHFU";0,746193192620932;0,783826543628852;0,118414566311903;0,826167351669756;0,404162191146369;0,0462597360421139;0,736554310466816;0,226435858409009;0,576976192567754;0,722636005491661;0,546462962830941;0,444548433090485;0,76301746567619;0,733566216395856;0,471244118948165;0,828627887936938;0,801306642445922;0,806541369773634
