"year";"plot";"sp";"lambda"
2016;8;"HOMA";26,3986625090009
2017;8;"HOMA";NA
2018;8;"HOMA";NA
2019;8;"HOMA";13,3153456177207
2016;9;"HOMA";28,7664516855059
2017;9;"HOMA";NA
2018;9;"HOMA";NA
2019;9;"HOMA";12,8442723623897
2016;1;"LEMA";74,6729531483127
2017;1;"LEMA";148,302211644177
2018;1;"LEMA";99,459599800775
2019;1;"LEMA";149,490374544988
2016;2;"LEMA";77,1384367520405
2017;2;"LEMA";112,211396879477
2018;2;"LEMA";65,0686643816699
2019;2;"LEMA";260,972937091185
2016;3;"LEMA";91,5057166438112
2017;3;"LEMA";200,484974490162
2018;3;"LEMA";56,545438696516
2019;3;"LEMA";73,8750447934062
2016;4;"LEMA";84,7247709610597
2017;4;"LEMA";114,5089571802
2018;4;"LEMA";NA
2019;4;"LEMA";307,082985298386
2016;5;"LEMA";64,5819141168916
2017;5;"LEMA";124,022493127554
2018;5;"LEMA";NA
2019;5;"LEMA";339,785395940219
2016;6;"LEMA";168,270191699989
2017;6;"LEMA";115,918844523262
2018;6;"LEMA";NA
2019;6;"LEMA";193,641048742318
2016;7;"LEMA";172,238109293052
2017;7;"LEMA";NA
2018;7;"LEMA";NA
2019;7;"LEMA";262,127944531284
2016;8;"LEMA";156,210186217742
2017;8;"LEMA";NA
2018;8;"LEMA";NA
2019;8;"LEMA";221,857675483902
2016;9;"LEMA";139,938398392764
2017;9;"LEMA";NA
2018;9;"LEMA";NA
2019;9;"LEMA";92,6188207972617
2016;1;"LYTR";NA
2017;1;"LYTR";NA
2018;1;"LYTR";NA
2019;1;"LYTR";NA
2016;2;"LYTR";NA
2017;2;"LYTR";NA
2018;2;"LYTR";NA
2019;2;"LYTR";NA
2016;3;"LYTR";NA
2017;3;"LYTR";NA
2018;3;"LYTR";NA
2019;3;"LYTR";NA
2016;4;"LYTR";NA
2017;4;"LYTR";314,078307849559
2018;4;"LYTR";473,596312472762
2019;4;"LYTR";NA
2016;5;"LYTR";NA
2017;5;"LYTR";453,24936570923
2018;5;"LYTR";NA
2019;5;"LYTR";NA
2016;6;"LYTR";NA
2017;6;"LYTR";377,585079134975
2018;6;"LYTR";NA
2019;6;"LYTR";NA
2016;7;"LYTR";NA
2017;7;"LYTR";1448,6991592011
2018;7;"LYTR";NA
2019;7;"LYTR";NA
2016;8;"LYTR";NA
2017;8;"LYTR";1184,63786041822
2018;8;"LYTR";NA
2019;8;"LYTR";NA
2016;9;"LYTR";NA
2017;9;"LYTR";NA
2018;9;"LYTR";NA
2019;9;"LYTR";NA
2016;1;"MEEL";14,7893631333765
2017;1;"MEEL";NA
2018;1;"MEEL";NA
2019;1;"MEEL";14,6943105131196
2016;2;"MEEL";15,0922683741687
2017;2;"MEEL";16,6731483909951
2018;2;"MEEL";NA
2019;2;"MEEL";15,5740369940284
2016;3;"MEEL";NA
2017;3;"MEEL";NA
2018;3;"MEEL";NA
2019;3;"MEEL";NA
2016;4;"MEEL";14,8167536101604
2017;4;"MEEL";NA
2018;4;"MEEL";NA
2019;4;"MEEL";NA
2016;5;"MEEL";15,4107338070865
2017;5;"MEEL";NA
2018;5;"MEEL";NA
2019;5;"MEEL";17,2773562494565
2016;6;"MEEL";13,9166041366492
2017;6;"MEEL";NA
2018;6;"MEEL";NA
2019;6;"MEEL";NA
2016;7;"MEEL";15,055079060887
2017;7;"MEEL";NA
2018;7;"MEEL";NA
2019;7;"MEEL";NA
2016;8;"MEEL";15,4444190309416
2017;8;"MEEL";NA
2018;8;"MEEL";NA
2019;8;"MEEL";NA
2016;9;"MEEL";NA
2017;9;"MEEL";NA
2018;9;"MEEL";NA
