case,ND_BEMA,ND_CETE,ND_CHFU,ND_CHMI,ND_HOMA,ND_LEMA,ND_LYTR,ND_MEEL,ND_MESU,ND_PAIN,ND_PLCO,ND_POMA,ND_POMO,ND_PUPA,ND_SASO,ND_SCLA,ND_SOAS,ND_SPRU,FD_BEMA,FD_CETE,FD_CHFU,FD_CHMI,FD_HOMA,FD_LEMA,FD_LYTR,FD_MEEL,FD_MESU,FD_PAIN,FD_PLCO,FD_POMA,FD_POMO,FD_PUPA,FD_SASO,FD_SCLA,FD_SOAS,FD_SPRU,equi_BEMA,equi_CETE,equi_CHFU,equi_CHMI,equi_HOMA,equi_LEMA,equi_LYTR,equi_MEEL,equi_MESU,equi_PAIN,equi_PLCO,equi_POMA,equi_POMO,equi_PUPA,equi_SASO,equi_SCLA,equi_SOAS,equi_SPRU
2015_1,-0.2158719660726384,,,2.668021191599768,-0.20945162657669986,,,-0.1363309995266624,-1.96310463135224,1.3211827962657714,5.2116419064214154,,3.5305805261174615e-08,-2.0974849382179346,3.329118971960808,1.2487932362711829,5.636902044251489,-6.745342468778668e-15,0.1424060540027865,,,0.406620647332168,0.3641517991472079,,,0.361259631880269,-1.2008128717057405,-1.3268461381084429,0.3094422913489512,,0.46461937651590796,-2.1295370866072725,0.2981854548282539,0.3348577029991002,0.3432527442985839,0.31478286944192824,,,,-1.3156827390729382,,,,,,-3.0073473792883183,-1.1897348892826909,,,-0.8451736026062021,-1.9230238685032242,-1.2146790518110022,-1.6619784078557238,
2015_1,-1.4298760139029402e-10,,,-0.00011443610934769848,-0.04099573352478612,,,-0.06990463863146211,2.3131653882386074e-15,12.744214880571153,-0.03791778584133641,,0.8577637200854593,2.4103670719298207,-0.11847029991048667,5.376652450806541,0.0004937764002766466,-0.0012749370936818072,0.4976258812823355,,,0.3953966704648448,-0.2811575513410409,,,0.3959960595295674,0.3194244531106548,0.19019607533209612,0.2868737704522717,,-0.16125671286731036,-0.8307566162186799,0.21066093991004675,0.2114525156006669,0.3477282858020547,0.3109814111517547,,,,,-0.9434410197518964,,,,,122.28086251875635,,,-0.994987181725444,-0.925240776788007,,-1.1513503462371866,,
2015_1,-0.30988482744828977,,,1.6489559735841588,,,,,-0.7973570697208003,2.3958084053751816,0.31947668420622244,,-1.2273910401052528,2.506297809746818,0.3476900565100556,3.0812698834729315,-inf,-2.1374058979451716e-05,0.07664642288345924,,,0.4214971071619015,,,,,-0.250619465685739,-0.08410752397326028,0.2597603445713248,,-0.4646079176312281,-0.18853684927913927,0.30183198894821994,0.21850969373240348,-inf,0.31300980087856894,,,,-1.3157894736842106,,,,,,2.6539691842509394e+211,4.425823999173432e+32,,,1.5626002896077223e+100,-1.9230769230769231,-1.4492753623188408,,
2015_1,,,,-1499.9005133655703,1.6043343512650263,,,,20.448128623625536,-0.7738184684498136,2.1429932218812487e-05,,2.301091439075686,3.9875613579761415,-3.760028024692422e-10,9.304205936410334,5.1902246122779845,0.0,,,,-890.1571609822053,0.15033014125010147,,,,0.30238193364804244,-1.0707163721715047,0.3108676968659549,,-0.07840064567240823,0.2988799310120216,0.31462042637030185,0.3302780859315657,0.3520859168623498,0.3176116098848064,,,,,-1.0638297765432303,,,,0.2373829334316692,549.6766274639566,,,164.57421939292925,0.050535966910071034,,-1.4488009445301095,-0.10089650232467144,
2015_1,,0.1954582378725017,,0.0,21.518356611606976,,,5.209877032062664,13.705739734406931,,2.4807707279232053e-08,,4.213765931899301,21.518356611606983,8.484449620011597e-13,9.014872918057137,-3.564414204451857e-16,0.0,,0.1825357044572662,,0.4162792387457468,-23.788978467784485,,,0.4407547822892645,0.29939772630106376,,0.3150309101819099,,0.033499179198401514,0.3046931783395459,0.29530170807743417,0.32782222313318565,0.34580154021535936,0.3104346866317532,,-1.8867924528301885,,,-1.0638297872340423,,,-1.6949152542372885,6801601508769.104,,,,12135.117738867852,1.805936416542925e+17,,5678.247356109727,,
2015_1,,,,0.040274423498698315,,,,-0.4314860040345348,2.021460600546096,,0.8280905185543412,,1.495201836470288,1.4764224813408924,0.20690001244328865,3.2246622917305943,1.2868413412261317,1.4290653587686368,,,,0.4406456925075968,,,,0.181650595217674,-0.9714037213728668,,-0.9989960504548508,,0.2396252492944049,-0.7897191795084193,0.3088620475616273,0.18822734170365152,0.17500556439533732,0.3079992086786925,,,,,,,,,100.36490242780887,,-0.4181178358821655,,-1.0544382632874485,4.130771984208035,,2686.8175000836623,-1.5215996968826002,10.212591372221107
2015_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_1,-3.1340210389191534,,3.47702754891934,3.657359570640032,,,,,18.994200924940255,,3.4415690002266635,,3.7846467770747183,3.635369652751376,2.561661655321889,4.404502868235625,0.14048056023152616,-0.001906841638661945,-5.651836118269104,,0.022682225333695568,0.4084253258156871,,,,,0.31017111949165355,,-2.7306558000395,,0.413701074607074,0.28161065343822944,0.024048312646569592,0.1192398416347964,0.3593900468779109,0.25812741169646025,-2.6269047155766403,,0.35469523478359793,7.756196737036889,,,,,102.885487999223,,0.5079822659050077,,-0.9904296206466664,7.295719941508166,-1.4155474951412903,0.8739462731092547,,
2015_1,-0.002240698492702034,,-3.8865297480361467,12.094314757150654,5.190677156597807,,,,3.5788557231212645,,-3.530586455749581e-09,,3.0867527498163736,-2.8992059301758442e-11,4.794243106825572,26.445794417023762,0.8730259450734655,-4.5972648812062646e-15,0.4422417466766237,,-2.3334859375434847,0.4098500555602135,-0.01834643888585985,,,,0.2891600098252767,,0.3112584396283802,,-0.6078977169797526,0.30410888307486705,0.3015945884423914,0.33173298456188816,0.3541064424020095,0.3173392012983203,,,,-1.315789473684208,0.9994256562608892,,,,-1.2987012987012987,,,,124891071.7673772,,39071062.45383148,1.806489892437436,110.8771105865782,
2015_1,,,,1.5729508722872694,0.7189817899443073,,,,-1.5519401746632566,2.663929360545379,2.7692342022491223,,-0.1092333496405667,0.6409644503605295,1.3363959461247952,-0.0016275067870437044,-0.006654714217243299,-0.027208257510833302,,,,0.4363508946331581,0.008311156951344212,,,,-0.8107627833025297,0.15544311082108409,0.31937921467578423,,0.4002870486953706,0.30678414431526024,0.1964280167009188,0.3269933821127611,0.3540593275548972,0.29844280453672045,,,,-1.1216032295103258,145.07642486155467,,,,,34.56684756879797,-1.187556411326807,,,1094.080198856749,5442.430646927961,,,
